name,lon,lat,notes
SJN,-109.14352,34.4240367,
SJT,-100.4548742,31.3749514,
SLC,-111.9924383,40.6207806,
SLN,-97.6213322,38.9251381,
SLT,-77.9701097,41.5127594,
SNS,-121.6031819,36.6638347,
SNY,-102.983,41.0966667,
SPA,-81.92701,35.0336258,
SPS,-98.5934719,33.9872875,
SQS,-90.2773333,33.4638611,
SRQ,-82.56365,27.4070333,
SSM,-84.3148717,46.4121103,
SSO,-109.2630875,32.269245,
STL,-90.4823681,38.8606889,
SYR,-76.2045653,43.1605278,
TBC,-111.2695878,36.1213119,
TBE,-103.6000558,37.2586575,
TCC,-103.5985181,35.1821392,
TCS,-107.2805422,33.2825028,
TDG,-86.0426856,33.5751519,
TLH,-84.3558742,30.3998108,
TOU,-124.6270433,48.2998992,
TRM,-116.1601978,33.6280958,
TTH,-87.2490172,39.488955,
TTT,-97.0405033,32.8691603,
TUL,-95.7881094,36.1962622,
TUS,-110.9148556,32.0952039,
TVC,-85.5499586,44.6679186,
TWF,-114.4894539,42.4798567,
TXK,-94.0732422,33.5138811,
TXO,-102.8396714,34.4951156,
UIN,-91.2789244,39.8478747,
VRB,-80.4896089,27.67842,Same as TRV
TRV,-80.4896089,27.67842,Same as VRB
VUZ,-86.8998,33.6701872,
VXV,-83.8947264,35.9048386,
YDC,-120.3737183,49.3815542,
YKM,-120.4446367,46.5702422,
YOW,-75.8969344,45.4417031,
YQB,-71.6262597,46.7053075,
YQL,-112.6678092,49.6344711,
YQT,-89.4375769,48.2537675,
YSC,-71.7881483,45.3164306,
YSJ,-65.8702214,45.4072953,
YVV,-81.1054308,44.7447486,
YWG,-97.2391897,49.92777,
YXC,-116.0877028,49.5549858,
YXH,-110.8143881,49.9647689,
YYN,-107.6907661,50.29696935,
YYZ,-79.6316667,43.6580556,
MHZ,-90.0997722,32.4340694,
SEA,-122.3117778,47.4498889,
HRV,-90.00298,29.85019,
HLN,-111.9832778,46.6067222,
LSU,-91.2940667,30.4851339,
CAE,-81.0539028,33.85725,
